x,y,theta,v
1.68091,7.4274,1.4544,0.0606684
1.68125,7.43037,1.4544,0.0599117
1.6816,7.43331,1.4544,0.0591645
1.68194,7.43621,1.4544,0.0584265
1.68227,7.43908,1.4544,0.0576978
1.6826,7.44191,1.4544,0.0569782
1.68293,7.4447,1.4544,0.0562675
1.68325,7.44746,1.4544,0.0555657
1.68357,7.45019,1.4544,0.0548726
1.68389,7.45288,1.4544,0.0541882
1.6842,7.45554,1.4544,0.0535124
1.6845,7.45816,1.4544,0.0528449
1.68481,7.46075,1.4544,0.0521858
1.68511,7.46331,1.4544,0.0515349
1.6854,7.46584,1.4544,0.0508922
1.68569,7.46834,1.4544,0.0502574
1.68598,7.4708,1.4544,0.0496306
1.68627,7.47323,1.4544,0.0490115
1.68655,7.47564,1.4544,0.0484002
1.68682,7.47801,1.4544,0.0477966
1.6871,7.48036,1.4544,0.0472004
1.68737,7.48267,1.4544,0.0466117
1.68764,7.48496,1.4544,0.0460303
1.6879,7.48721,1.4544,0.0454562
1.68816,7.48944,1.4544,0.0448893
1.68842,7.49164,1.4544,0.0443294
1.68867,7.49382,1.4544,0.0437765
1.68892,7.49597,1.4544,0.0432305
1.68917,7.49809,1.4544,0.0426913
1.68942,7.50018,1.4544,0.0421588
1.68966,7.50225,1.4544,0.041633
1.6899,7.50429,1.4544,0.0411137
1.69013,7.5063,1.4544,0.0406009
1.69036,7.5083,1.4544,0.0400945
1.69059,7.51026,1.4544,0.0395944
1.69082,7.5122,1.4544,0.0391006
1.69105,7.51412,1.4544,0.0386129
1.69127,7.51602,1.4544,0.0381313
1.69149,7.51789,1.4544,0.0376557
1.6917,7.51973,1.4544,0.037186
1.69192,7.52156,1.4544,0.0367222
1.69213,7.52336,1.4544,0.0362642
1.69233,7.52514,1.4544,0.0358119
1.69254,7.52689,1.4544,0.0353652
1.69274,7.52863,1.4544,0.0349241
1.69294,7.53034,1.4544,0.0344885
1.69314,7.53203,1.4544,0.0340584
1.69334,7.5337,1.4544,0.0336336
1.69353,7.53535,1.4544,0.0332141
1.69372,7.53698,1.4544,0.0327998
1.69391,7.53859,1.4544,0.0323907
1.69409,7.54018,1.4544,0.0319867
1.69428,7.54174,1.4544,0.0315878
1.69446,7.54329,1.4544,0.0311938
1.69464,7.54482,1.4544,0.0308047
1.69481,7.54633,1.4544,0.0304205
1.69499,7.54783,1.4544,0.0300411
1.69516,7.5493,1.4544,0.0296664
1.69533,7.55075,1.4544,0.0292964
1.6955,7.55219,1.4544,0.028931
1.69566,7.55361,1.4544,0.0285701
1.69583,7.55501,1.4544,0.0282138
1.69599,7.55639,1.4544,0.0278619
1.69615,7.55776,1.4544,0.0275144
1.69631,7.55911,1.4544,0.0271712
1.69646,7.56044,1.4544,0.0268323
1.69662,7.56176,1.4544,0.0264976
1.69677,7.56306,1.4544,0.0261671
1.69692,7.56434,1.4544,0.0258408
1.69707,7.56561,1.4544,0.0255185
1.69721,7.56686,1.4544,0.0252002
1.69736,7.5681,1.4544,0.0248859
1.70398,7.5649,-0.449393,0.147019
1.71398,7.57143,0.578362,0.2389
1.72893,7.56778,-0.239392,0.30783
1.74681,7.56962,0.102352,0.359412
1.76605,7.56456,-0.257001,0.397923
1.7871,7.56099,-0.167938,0.426905
1.8081,7.55315,-0.357222,0.448457
1.82988,7.54507,-0.355661,0.464513
1.85112,7.5343,-0.469192,0.476383
1.87244,7.52274,-0.496783,0.485093
1.8931,7.50943,-0.572049,0.491426
1.91346,7.49528,-0.607559,0.495964
1.93315,7.47994,-0.66178,0.499149
1.95238,7.46386,-0.696767,0.501313
1.97097,7.44694,-0.738188,0.502705
1.98905,7.42942,-0.769645,0.503516
2.00656,7.4113,-0.802474,0.503886
2.02357,7.39272,-0.829648,0.503924
2.04007,7.37369,-0.856229,0.50371
2.05612,7.35431,-0.879258,0.503306
2.07173,7.3346,-0.901038,0.502758
2.08693,7.31462,-0.920366,0.502102
2.10175,7.2944,-0.938327,0.501363
2.11621,7.27398,-0.954469,0.500562
2.13035,7.25338,-0.969332,0.499714
2.14419,7.23263,-0.982778,0.498832
2.15774,7.21174,-0.9951,0.497922
2.17104,7.19075,-1.00629,0.496993
2.18409,7.16966,-1.01651,0.496049
2.19692,7.14849,-1.02581,0.495095
2.20955,7.12726,-1.0343,0.494132
2.22199,7.10597,-1.04203,0.493164
2.23426,7.08463,-1.04908,0.492192
2.24636,7.06326,-1.0555,0.491218
2.25831,7.04186,-1.06135,0.490242
2.27013,7.02044,-1.06669,0.489265
2.28182,6.999,-1.07155,0.488289
2.29339,6.97756,-1.07599,0.487312
2.30485,6.95611,-1.08003,0.486336
2.31621,6.93467,-1.08371,0.485362
2.32747,6.91323,-1.08706,0.484388
2.33865,6.8918,-1.09012,0.483416
2.34974,6.87038,-1.09291,0.482445
2.36076,6.84897,-1.09545,0.481476
2.37171,6.82758,-1.09777,0.480508
2.38258,6.80622,-1.09988,0.479542
2.3934,6.78487,-1.10181,0.478578
2.40416,6.76355,-1.10356,0.477616
2.41486,6.74226,-1.10516,0.476655
2.4255,6.72099,-1.10662,0.475697
2.4361,6.69975,-1.10794,0.47474
2.44665,6.67854,-1.10915,0.473785
2.45716,6.65736,-1.11026,0.472832
2.46763,6.63621,-1.11126,0.47188
2.47805,6.6151,-1.11218,0.470931
2.48844,6.59402,-1.11302,0.469984
2.49879,6.57298,-1.11378,0.469038
2.5091,6.55197,-1.11447,0.468094
2.51938,6.53099,-1.11511,0.467152
2.52962,6.51005,-1.11568,0.466212
2.53984,6.48915,-1.11621,0.465274
2.55002,6.46829,-1.11669,0.464338
2.56018,6.44746,-1.11712,0.463404
2.5703,6.42667,-1.11752,0.462472
2.5804,6.40592,-1.11789,0.461541
2.59047,6.38521,-1.11822,0.460612
2.60052,6.36454,-1.11852,0.459685
2.61054,6.3439,-1.11879,0.458761
2.62053,6.32331,-1.11904,0.457837
2.6305,6.30275,-1.11927,0.456916
2.64044,6.28223,-1.11948,0.455997
2.65036,6.26176,-1.11967,0.455079
2.66026,6.24132,-1.11984,0.454164
2.67013,6.22092,-1.12,0.45325
2.67998,6.20056,-1.12015,0.452338
2.68981,6.18024,-1.12028,0.451427
2.69962,6.15996,-1.1204,0.450519
2.7094,6.13972,-1.1205,0.449611
2.71917,6.11952,-1.1206,0.448706
2.72891,6.09936,-1.12069,0.447802
2.73863,6.07924,-1.12077,0.4469
2.74832,6.05916,-1.12084,0.446
2.758,6.03912,-1.12091,0.445102
2.76766,6.01912,-1.12097,0.444205
2.7773,5.99916,-1.12102,0.44331
2.78691,5.97924,-1.12107,0.442417
2.79651,5.95936,-1.12111,0.441526
2.80609,5.93952,-1.12114,0.440637
2.81564,5.91971,-1.12118,0.439749
2.82518,5.89995,-1.12121,0.438864
2.8347,5.88023,-1.12123,0.43798
2.84419,5.86054,-1.12126,0.437098
2.85367,5.8409,-1.12128,0.436218
2.86313,5.8213,-1.12129,0.43534
2.87257,5.80173,-1.12131,0.434463
2.88199,5.7822,-1.12132,0.433588
2.89139,5.76272,-1.12134,0.432716
2.90077,5.74327,-1.12135,0.431844
2.91013,5.72386,-1.12136,0.430975
2.91947,5.70449,-1.12137,0.430108
2.9288,5.68516,-1.12137,0.429242
2.9381,5.66587,-1.12138,0.428378
2.94739,5.64661,-1.12139,0.427516
2.95666,5.6274,-1.12139,0.426655
2.9659,5.60822,-1.1214,0.425797
2.97513,5.58909,-1.1214,0.42494
2.98435,5.56999,-1.1214,0.424085
2.99354,5.55093,-1.12141,0.423231
3.00271,5.5319,-1.12141,0.42238
3.01187,5.51292,-1.12141,0.42153
3.02101,5.49398,-1.12141,0.420682
3.03013,5.47507,-1.12142,0.419836
3.03923,5.4562,-1.12142,0.418991
3.04831,5.43737,-1.12142,0.418148
3.05737,5.41857,-1.12142,0.417307
3.06642,5.39982,-1.12142,0.416467
3.07545,5.3811,-1.12142,0.415629
3.08446,5.36242,-1.12142,0.414793
3.09345,5.34377,-1.12143,0.413959
3.10242,5.32517,-1.12143,0.413126
3.11137,5.3066,-1.12143,0.412295
3.12031,5.28807,-1.12143,0.411466
3.12923,5.26958,-1.12143,0.410638
3.13813,5.25112,-1.12143,0.409812
3.14701,5.2327,-1.12143,0.408988
3.15588,5.21432,-1.12143,0.408165
3.16473,5.19597,-1.12143,0.407345
3.17356,5.17766,-1.12144,0.406525
3.18237,5.15939,-1.12144,0.405708
3.19116,5.14116,-1.12144,0.404892
3.19994,5.12296,-1.12144,0.404077
3.2087,5.1048,-1.12144,0.403265
3.21744,5.08667,-1.12144,0.402454
3.22616,5.06859,-1.12145,0.401644
3.23487,5.05053,-1.12145,0.400837
3.24356,5.03252,-1.12145,0.40003
3.25223,5.01454,-1.12145,0.399226
3.26088,4.99659,-1.12145,0.398423
3.26952,4.97869,-1.12146,0.397622
3.27813,4.96081,-1.12146,0.396822
3.28673,4.94298,-1.12146,0.396024
3.29532,4.92518,-1.12147,0.395228
3.30388,4.90741,-1.12147,0.394433
3.31243,4.88969,-1.12147,0.39364
3.32097,4.87199,-1.12148,0.392848
3.32948,4.85434,-1.12148,0.392058
3.33798,4.83671,-1.12149,0.391269
3.34646,4.81913,-1.1215,0.390482
3.35492,4.80158,-1.12151,0.389697
3.36337,4.78406,-1.12151,0.388913
3.37179,4.76658,-1.12152,0.388131
3.3802,4.74913,-1.12153,0.38735
3.3886,4.73172,-1.12154,0.386571
3.39698,4.71435,-1.12155,0.385793
3.40534,4.69701,-1.12156,0.385017
3.41368,4.6797,-1.12156,0.384243
3.42201,4.66243,-1.12157,0.38347
3.43032,4.64519,-1.12158,0.382699
3.43861,4.62799,-1.12158,0.381929
3.44688,4.61083,-1.12159,0.381161
3.45514,4.59369,-1.1216,0.380394
3.46339,4.57659,-1.1216,0.379629
3.47161,4.55953,-1.1216,0.378865
3.47982,4.5425,-1.12161,0.378103
3.48801,4.5255,-1.12161,0.377343
3.49619,4.50854,-1.12161,0.376584
3.50435,4.49162,-1.12162,0.375826
3.51249,4.47472,-1.12162,0.37507
3.52062,4.45786,-1.12162,0.374315
3.52873,4.44104,-1.12163,0.373562
3.53682,4.42425,-1.12163,0.372811
3.5449,4.40749,-1.12163,0.372061
3.55296,4.39076,-1.12164,0.371312
3.56101,4.37407,-1.12164,0.370565
3.56904,4.35742,-1.12164,0.369819
3.57705,4.34079,-1.12164,0.369075
3.58505,4.3242,-1.12165,0.368332
3.59303,4.30765,-1.12165,0.367591
3.60099,4.29112,-1.12165,0.366852
3.60894,4.27463,-1.12165,0.366113
3.61687,4.25818,-1.12166,0.365377
3.62479,4.24175,-1.12166,0.364642
3.63269,4.22536,-1.12166,0.363908
3.64057,4.209,-1.12166,0.363176
3.64844,4.19268,-1.12166,0.362445
3.65629,4.17639,-1.12166,0.361716
