acceleration,angular_velocity
-0.0192468,-0.0350816
-0.0192105,-0.0319762
-0.0191739,-0.0291456
-0.0191369,-0.0265658
-0.0190996,-0.0242143
-0.0190622,-0.022071
-0.0190247,-0.0201175
-0.0189871,-0.018337
-0.0189494,-0.0167141
-0.0189118,-0.0152349
-0.0188741,-0.0138867
-0.0188364,-0.0126578
-0.0187987,-0.0115377
-0.0187611,-0.0105167
-0.0187235,-0.00958615
-0.018686,-0.00873795
-0.0186485,-0.00796482
-0.018611,-0.00726012
-0.0185736,-0.00661779
-0.0185363,-0.00603232
-0.0184991,-0.00549865
-0.0184619,-0.00501222
-0.0184248,-0.00456883
-0.0183877,-0.00416469
-0.0183508,-0.0037963
-0.0183139,-0.00346051
-0.018277,-0.00315443
-0.0182403,-0.00287544
-0.018206,-0.0026121
-0.0181758,-0.00239627
-0.0181434,-0.00217019
-0.0181099,-0.00196869
-0.0180754,-0.00177692
-0.0180402,-0.00160346
-0.0180044,-0.00144344
-0.0179683,-0.00129835
-0.017932,-0.00116608
-0.0178955,-0.00103919
-0.0178589,-0.000929213
-0.0178223,-0.000829121
-0.0177856,-0.000740239
-0.0177489,-0.000659944
-0.0177123,-0.000588017
-0.0176757,-0.000523211
-0.0176392,-0.00046501
-0.0176027,-0.000412663
-0.0175663,-0.000365661
-0.0175301,-0.000323465
-0.0174939,-0.000285637
-0.0174578,-0.000251755
-0.0174218,-0.000221455
-0.0173859,-0.000194398
-0.0173501,-0.00017028
-0.0173144,-0.000148826
-0.0172788,-0.000129787
-0.0172432,-0.000112936
-0.0172078,-9.80662e-05
-0.0171725,-8.53021e-05
-0.0171373,-7.51428e-05
-0.017102,-6.9595e-05
-0.0170668,-6.40101e-05
-0.0170318,-5.72445e-05
-0.016997,-5.10044e-05
-0.0169623,-4.51063e-05
-0.0169277,-3.99631e-05
-0.0168932,-3.54599e-05
-0.0168587,-3.16659e-05
-0.0168243,-2.85029e-05
-0.0167901,-2.6343e-05
-0.0167559,-2.48262e-05
-0.0167218,-2.35183e-05
-0.0166878,-2.26481e-05
-0.0166538,-2.20757e-05
-0.01662,-2.18541e-05
-0.0165862,-2.19262e-05
-0.0165525,-2.22913e-05
-0.016519,-2.29164e-05
-0.0164854,-2.37856e-05
-0.016452,-2.48739e-05
-0.0164187,-2.61623e-05
-0.0163855,-2.73445e-05
-0.0163523,-2.88523e-05
-0.0163193,-3.04305e-05
-0.0162863,-3.23902e-05
-0.0162534,-3.44008e-05
-0.0162206,-3.65703e-05
-0.0161878,-3.87985e-05
-0.0161552,-4.11135e-05
-0.0161226,-4.3479e-05
-0.0160901,-4.58977e-05
-0.0160577,-4.83529e-05
-0.0160254,-5.08396e-05
-0.0159932,-5.33338e-05
-0.015961,-5.58432e-05
-0.0159289,-5.83775e-05
-0.0158969,-6.09147e-05
-0.015865,-6.34566e-05
-0.015834,-0.0001091
-0.0158025,-0.00011124
-0.0157711,-0.000138481
-0.0157396,-0.000145949
-0.0157081,-0.000159156
-0.0156765,-0.00016434
-0.015645,-0.000169582
-0.0156136,-0.000170777
-0.0155822,-0.000170598
-0.0155509,-0.000167914
-0.0155196,-0.000162918
-0.0154884,-0.000156631
-0.0154573,-0.000148824
-0.0154263,-0.000139879
-0.0153954,-0.000129798
-0.0153645,-0.000118818
-0.0153338,-0.000107077
-0.0153031,-9.45048e-05
-0.0152725,-8.19286e-05
-0.0152421,-7.20615e-05
-0.0152118,-6.65977e-05
-0.0151816,-6.30395e-05
-0.0151515,-6.1613e-05
-0.0151215,-6.27281e-05
-0.0150916,-6.24654e-05
-0.0150617,-6.27728e-05
-0.0150318,-6.21118e-05
-0.0150019,-6.09817e-05
-0.014972,-5.93138e-05
-0.0149422,-5.72671e-05
-0.0149123,-5.48961e-05
-0.0148824,-5.23172e-05
-0.0148526,-4.9596e-05
-0.0148229,-4.6349e-05
-0.0147931,-4.34052e-05
-0.0147634,-4.05937e-05
-0.0147337,-3.78953e-05
-0.0147041,-3.52913e-05
-0.0146746,-3.27938e-05
-0.014645,-3.04059e-05
-0.0146156,-2.8136e-05
-0.0145862,-2.59867e-05
-0.0145568,-2.39604e-05
-0.0145275,-2.20566e-05
-0.0144983,-2.02738e-05
-0.0144691,-1.86089e-05
-0.01444,-1.70582e-05
-0.0144109,-1.56171e-05
-0.0143819,-1.43053e-05
-0.0143529,-1.30983e-05
-0.0143241,-1.19814e-05
-0.0142952,-1.09521e-05
-0.0142665,-1.00017e-05
-0.0142377,-9.12603e-06
-0.0142091,-8.31887e-06
