position_error,angular_error
1.34365,5.32316e-07
1.33089,5.59541e-07
1.31815,5.85466e-07
1.30544,6.10167e-07
1.29275,6.33803e-07
1.28009,6.56466e-07
1.26745,6.78276e-07
1.25484,6.9932e-07
1.24225,7.19692e-07
1.22969,7.39472e-07
1.21716,7.58738e-07
1.20465,7.77559e-07
1.19216,8.06659e-07
1.1797,8.39774e-07
1.16727,8.7818e-07
1.15486,9.18857e-07
1.14248,9.6181e-07
1.13012,1.00547e-06
1.11778,1.04953e-06
1.10547,1.09312e-06
1.09319,1.13593e-06
1.08093,1.17747e-06
1.06869,1.21752e-06
1.05648,1.2558e-06
1.04429,1.29218e-06
1.03213,1.32654e-06
1.01999,1.3588e-06
1.00788,1.38893e-06
0.995789,1.41692e-06
0.983735,2.91814e-05
0.971743,2.59467e-05
0.959833,5.81724e-05
0.94802,7.7529e-05
0.936316,0.000104838
0.924728,0.000120296
0.913263,0.00013282
0.901923,0.000155625
0.890711,0.000168123
0.87963,0.000177103
0.86868,0.000176408
0.857861,0.000170181
0.847172,0.000157447
0.836614,0.000140974
0.826186,0.000120904
0.815886,9.9845e-05
0.805713,7.80465e-05
0.795666,5.6883e-05
0.785744,3.66647e-05
0.775946,1.80351e-05
0.766269,1.13901e-06
0.756713,-1.38099e-05
0.747276,-2.68313e-05
0.737957,-3.79411e-05
0.728754,-4.72593e-05
0.719665,-5.49075e-05
0.71069,-6.10463e-05
0.701827,-6.58307e-05
0.693074,-6.94227e-05
0.684431,-7.19725e-05
0.675895,-7.36238e-05
0.667466,-7.44677e-05
0.659142,-7.45045e-05
0.650922,-7.39724e-05
0.642804,-7.29252e-05
0.634787,-7.15052e-05
0.626871,-6.97776e-05
0.619053,-6.78356e-05
0.611332,-6.57279e-05
0.603708,-6.35111e-05
0.596179,-6.13689e-05
0.588744,-5.90276e-05
0.581401,-5.67264e-05
0.57415,-5.43616e-05
0.56699,-5.20404e-05
0.559919,-4.97253e-05
0.552936,-4.74653e-05
