position_error,angular_error
4.72017,-0.00037064
4.70062,-0.000359265
4.6811,-0.000347435
4.66162,-0.000335182
4.64218,-0.00032255
4.62278,-0.000309569
4.60341,-0.000296272
4.58409,-0.000282685
4.56481,-0.000268836
4.54556,-0.000254748
4.52635,-0.000240441
4.50719,-0.000225937
4.48806,-0.000211253
4.46897,-0.000196406
4.44991,-0.000181411
4.4309,-0.000166282
4.41192,-0.00015103
4.39298,-0.000135669
4.37408,-0.000120209
4.35522,-0.000104659
4.3364,-8.90292e-05
4.31761,-7.33267e-05
4.29887,-5.75594e-05
4.28015,-4.17342e-05
4.26148,-2.58577e-05
4.24285,-9.9355e-06
4.22425,6.0269e-06
4.20569,2.20246e-05
4.18717,3.6636e-05
4.16868,4.99435e-05
4.15023,6.20562e-05
4.13182,7.30514e-05
4.11345,8.30147e-05
4.09511,9.20146e-05
4.07681,0.00010012
4.05854,0.00010739
4.04032,0.000113882
4.02213,0.000119645
4.00397,0.000124727
3.98586,0.000129171
3.96777,0.000133015
3.94973,0.000136296
3.93172,0.000139046
3.91375,0.000141297
3.89581,0.000143075
3.87791,0.000144407
3.86005,0.000145316
3.84222,0.000145823
3.82443,0.00014595
3.80668,0.000145713
3.78896,0.00014513
3.77127,0.000144217
3.75362,0.000142989
3.73601,0.000141458
3.71843,0.000139637
3.70089,0.000137537
3.68338,0.00013517
3.66591,0.000132545
3.64847,0.000129671
3.63107,0.000126557
3.6137,0.000123211
3.59637,0.000119641
3.57907,0.000115852
3.56181,0.000111853
3.54458,0.000107649
3.52739,0.000103246
3.51023,9.86489e-05
3.49311,9.38634e-05
3.47602,8.88942e-05
3.45896,8.37457e-05
3.44194,7.84223e-05
3.42495,7.29282e-05
3.408,6.72673e-05
3.39108,6.14431e-05
3.3742,5.6e-05
3.35735,5.11212e-05
3.34053,4.66137e-05
3.32375,4.25398e-05
3.307,3.87987e-05
3.29028,3.54025e-05
3.2736,3.22936e-05
3.25696,2.94648e-05
3.24034,2.68795e-05
3.22376,2.45242e-05
3.20721,2.23736e-05
3.1907,2.0413e-05
3.17422,1.86236e-05
3.15777,1.69918e-05
3.14135,1.55027e-05
3.12497,1.41445e-05
3.10862,1.29052e-05
3.09231,1.17748e-05
3.07602,1.07434e-05
