x,y,theta,v
1.24312,8.35468,1.53477,0.158993
1.2434,8.36252,1.53477,0.15701
1.24368,8.37027,1.53477,0.155052
1.24396,8.37792,1.53476,0.153118
1.24423,8.38548,1.53476,0.151209
1.2445,8.39294,1.53476,0.149323
1.24476,8.40031,1.53476,0.14746
1.24503,8.40758,1.53476,0.145621
1.24529,8.41477,1.53475,0.143805
1.24554,8.42186,1.53475,0.142011
1.24579,8.42887,1.53475,0.14024
1.24604,8.43579,1.53475,0.138491
1.24629,8.44262,1.53475,0.136764
1.24653,8.44937,1.53475,0.135058
1.24677,8.45604,1.53475,0.133373
1.24701,8.46262,1.53475,0.13171
1.24725,8.46912,1.53475,0.130067
1.24748,8.47554,1.53475,0.128445
1.24771,8.48187,1.53475,0.126843
1.24793,8.48813,1.53475,0.125261
1.24815,8.49431,1.53474,0.123699
1.24837,8.50042,1.53474,0.122156
1.24859,8.50644,1.53474,0.120632
1.24881,8.5124,1.53474,0.119128
1.24902,8.51828,1.53474,0.117642
1.24923,8.52408,1.53474,0.116174
1.24943,8.52981,1.53474,0.114725
1.24964,8.53547,1.53474,0.113295
1.24984,8.54106,1.53474,0.111881
1.25004,8.54659,1.53474,0.110486
1.25024,8.55204,1.53474,0.109108
1.25043,8.55742,1.53474,0.107747
1.25062,8.56274,1.53474,0.106403
1.25081,8.56799,1.53474,0.105076
1.251,8.57317,1.53474,0.103766
1.25118,8.57829,1.53474,0.102471
1.25137,8.58335,1.53474,0.101193
1.25155,8.58834,1.53474,0.0999311
1.25172,8.59327,1.53474,0.0986847
1.2519,8.59814,1.53474,0.0974539
1.25207,8.60295,1.53474,0.0962384
1.25224,8.6077,1.53474,0.095038
1.25241,8.61239,1.53474,0.0938527
1.25258,8.61702,1.53474,0.0926821
1.25275,8.6216,1.53474,0.0915261
1.25291,8.62611,1.53474,0.0903845
1.25307,8.63057,1.53474,0.0892572
1.25323,8.63498,1.53475,0.088144
1.25338,8.63933,1.53475,0.0870446
1.25354,8.64362,1.53475,0.0859589
1.25369,8.64786,1.53475,0.0848868
1.25384,8.65205,1.53475,0.083828
1.25399,8.65619,1.53475,0.0827825
1.25414,8.66027,1.53475,0.08175
1.25429,8.66431,1.53475,0.0807303
1.25443,8.66829,1.53475,0.0797234
1.25457,8.67222,1.53475,0.0787291
1.25471,8.67611,1.53475,0.0777471
1.25485,8.67994,1.53475,0.0767774
1.25499,8.68373,1.53475,0.0758198
1.25512,8.68747,1.53475,0.0748741
1.25525,8.69117,1.53475,0.0739402
1.25539,8.69482,1.53475,0.073018
1.25552,8.69842,1.53475,0.0721073
1.25564,8.70198,1.53475,0.0712079
1.25577,8.70549,1.53475,0.0703198
1.2559,8.70896,1.53475,0.0694427
1.25602,8.71239,1.53475,0.0685766
1.25614,8.71577,1.53475,0.0677212
1.25626,8.71911,1.53475,0.0668766
1.25638,8.72241,1.53475,0.0660425
1.2565,8.72567,1.53475,0.0652187
1.25661,8.72889,1.53475,0.0644053
1.25673,8.73207,1.53475,0.063602
1.25684,8.73521,1.53475,0.0628087
1.25695,8.73831,1.53475,0.0620253
1.25706,8.74137,1.53475,0.0612517
1.25717,8.74439,1.53475,0.0604877
1.25728,8.74737,1.53475,0.0597333
1.25739,8.75032,1.53475,0.0589883
1.25749,8.75323,1.53475,0.0582525
1.2576,8.75611,1.53475,0.057526
1.2577,8.75895,1.53475,0.0568085
1.2578,8.76175,1.53475,0.0560999
1.2579,8.76452,1.53475,0.0554002
1.258,8.76725,1.53475,0.0547092
1.2581,8.76995,1.53475,0.0540269
1.25819,8.77262,1.53475,0.053353
1.25829,8.77525,1.53475,0.0526876
1.25838,8.77785,1.53475,0.0520304
1.25847,8.78042,1.53475,0.0513815
1.25856,8.78295,1.53475,0.0507406
1.25865,8.78546,1.53475,0.0501077
1.25874,8.78793,1.53475,0.0494828
1.25883,8.79037,1.53475,0.0488656
1.25892,8.79278,1.53475,0.0482561
1.259,8.79516,1.53475,0.0476542
1.25909,8.79751,1.53475,0.0470599
1.25917,8.79984,1.53475,0.0464729
1.25926,8.80213,1.53475,0.0458933
1.25934,8.80439,1.53475,0.0453209
1.25942,8.80663,1.53475,0.0447556
1.2595,8.80884,1.53475,0.0441974
1.25958,8.81102,1.53475,0.0436461
1.25965,8.81317,1.53475,0.0431017
1.25973,8.8153,1.53475,0.0425641
1.25981,8.8174,1.53475,0.0420333
1.25988,8.81947,1.53475,0.041509
1.25996,8.82152,1.53475,0.0409913
1.26003,8.82354,1.53475,0.04048
1.2601,8.82554,1.53475,0.0399751
1.26017,8.82751,1.53475,0.0394765
1.26024,8.82946,1.53475,0.0389841
1.26031,8.83139,1.53475,0.0384979
1.26038,8.83329,1.53475,0.0380177
1.26045,8.83516,1.53475,0.0375436
1.26051,8.83701,1.53475,0.0370753
1.26058,8.83884,1.53475,0.0366129
1.26065,8.84065,1.53475,0.0361562
1.26071,8.84243,1.53475,0.0357053
1.26077,8.8442,1.53475,0.0352599
1.26084,8.84594,1.53475,0.0348201
1.2609,8.84765,1.53475,0.0343858
1.26096,8.84935,1.53475,0.033957
1.26102,8.85103,1.53475,0.0335334
1.26108,8.85268,1.53475,0.0331152
1.26114,8.85432,1.53475,0.0327021
1.2612,8.85593,1.53475,0.0322943
1.26125,8.85752,1.53475,0.0318915
1.26131,8.8591,1.53475,0.0314937
1.26137,8.86065,1.53475,0.0311009
1.26142,8.86219,1.53475,0.030713
1.26148,8.8637,1.53475,0.0303299
1.26153,8.8652,1.53475,0.0299516
1.26158,8.86668,1.53475,0.029578
1.26164,8.86813,1.53475,0.0292091
1.26169,8.86958,1.53475,0.0288448
1.26174,8.871,1.53475,0.0284851
1.26179,8.87241,1.53475,0.0281298
1.26184,8.87379,1.53475,0.0277789
1.26189,8.87516,1.53475,0.0274324
1.26194,8.87652,1.53475,0.0270903
1.26199,8.87785,1.53475,0.0267524
1.26203,8.87917,1.53475,0.0264187
1.26208,8.88048,1.53475,0.0260892
1.26213,8.88177,1.53475,0.0257638
1.26217,8.88304,1.53475,0.0254425
1.26222,8.88429,1.53475,0.0251251
1.26226,8.88553,1.53475,0.0248118
1.26952,8.88204,-0.448241,0.161089
1.28009,8.88986,0.636763,0.262846
1.29684,8.88732,-0.149967,0.338837
1.31637,8.89074,0.172973,0.396464
1.33802,8.88708,-0.167054,0.43917
1.36146,8.88455,-0.107602,0.471571
1.3852,8.87742,-0.29187,0.495665
1.40968,8.86966,-0.306893,0.513658
1.43373,8.8589,-0.420759,0.526954
1.45776,8.84695,-0.461332,0.536759
1.48112,8.83302,-0.537762,0.543889
1.50406,8.81795,-0.581518,0.549012
1.52625,8.80148,-0.638493,0.55262
1.54784,8.78405,-0.679127,0.555083
1.5687,8.76562,-0.723614,0.55668
1.58893,8.74642,-0.759232,0.557623
1.60847,8.72651,-0.794944,0.558071
1.6274,8.706,-0.825341,0.558144
1.64571,8.68496,-0.85446,0.557933
1.66347,8.66348,-0.88006,0.557506
1.6807,8.64159,-0.904008,0.556917
1.69742,8.61938,-0.925423,0.556205
1.71368,8.59687,-0.945209,0.555399
1.72952,8.5741,-0.963062,0.554521
1.74495,8.55112,-0.979448,0.553591
1.76001,8.52796,-0.994304,0.55262
1.77473,8.50463,-1.00789,0.551618
1.78913,8.48117,-1.02024,0.550593
1.80324,8.45759,-1.03152,0.549552
1.81708,8.43392,-1.04178,0.548497
1.83067,8.41016,-1.05115,0.547434
1.84403,8.38633,-1.05967,0.546364
1.85719,8.36245,-1.06745,0.545289
1.87014,8.33852,-1.07453,0.544211
1.88292,8.31456,-1.08098,0.543131
1.89553,8.29057,-1.08686,0.54205
1.90798,8.26656,-1.09222,0.540969
1.9203,8.24254,-1.09711,0.539888
1.93248,8.21851,-1.10156,0.538807
1.94454,8.19448,-1.10562,0.537728
1.95649,8.17045,-1.10932,0.53665
1.96833,8.14644,-1.11269,0.535573
1.98008,8.12243,-1.11576,0.534498
1.99173,8.09844,-1.11856,0.533424
2.0033,8.07447,-1.12111,0.532352
2.01479,8.05052,-1.12343,0.531282
2.02621,8.02659,-1.12555,0.530214
2.03756,8.00269,-1.12748,0.529148
