acceleration,angular_velocity
-0.00857761,2.89466e-07
-0.00847062,2.83496e-07
-0.00836497,2.77633e-07
-0.00826064,2.71877e-07
-0.00815761,2.66227e-07
-0.00805586,2.60683e-07
-0.00795538,2.55242e-07
-0.00785616,2.5055e-07
-0.00775817,2.46374e-07
-0.00766141,2.42036e-07
-0.00756585,2.37834e-07
-0.00747148,2.33545e-07
-0.00737829,2.29318e-07
-0.00728627,2.25064e-07
-0.00719539,2.20853e-07
-0.00710564,2.16648e-07
-0.00701702,2.12483e-07
-0.0069295,2.08343e-07
-0.00684307,2.04246e-07
-0.00675772,2.00186e-07
-0.00667343,1.96173e-07
-0.0065902,1.92205e-07
-0.006508,1.88287e-07
-0.00642683,1.8442e-07
-0.00634667,1.80608e-07
-0.00626751,1.7685e-07
2.72554,-39.6598
2.03514,21.7001
1.51982,-15.7346
1.15254,6.4588
0.854125,-6.80055
0.648027,1.18904
0.481864,-3.68536
0.359873,-0.300454
0.265917,-2.27731
0.196103,-0.811474
0.142594,-1.5286
0.102466,-0.875117
0.0721624,-1.1395
0.0492519,-0.812678
0.0319481,-0.889738
0.0188554,-0.712367
0.0089537,-0.714228
0.00145556,-0.607936
-0.00422131,-0.582384
-0.00852304,-0.511998
-0.0117822,-0.47896
-0.0142524,-0.428307
-0.0161238,-0.395716
-0.0175411,-0.357053
-0.0186133,-0.327739
-0.0194232,-0.297116
-0.0200332,-0.271791
-0.0204911,-0.247008
-0.0208327,-0.225549
-0.0210857,-0.205249
-0.0212707,-0.187242
-0.0214038,-0.170508
-0.0214969,-0.155472
-0.0215593,-0.141628
-0.0215981,-0.129106
-0.0216187,-0.117633
-0.0216253,-0.107218
-0.021621,-0.0976999
-0.0216083,-0.0890439
-0.021589,-0.0811438
-0.0215647,-0.0739521
-0.0215364,-0.0673932
-0.021505,-0.0614193
-0.0214713,-0.0559729
-0.0214356,-0.0510111
-0.0213985,-0.0464882
-0.0213603,-0.0423671
-0.0213212,-0.038611
-0.0212814,-0.0351883
-0.0212411,-0.0320689
-0.0212004,-0.0292262
-0.0211593,-0.0266355
-0.0211181,-0.0242745
-0.0210767,-0.0221228
-0.0210351,-0.020162
-0.0209935,-0.0183749
-0.0209519,-0.0167463
-0.0209102,-0.0152621
-0.0208685,-0.0139095
-0.0208268,-0.0126767
-0.0207851,-0.0115533
-0.0207435,-0.0105294
-0.020702,-0.00959635
-0.0206605,-0.00874597
-0.020619,-0.00797096
-0.0205776,-0.00726465
-0.0205363,-0.00662094
-0.020495,-0.00603429
-0.0204538,-0.00549963
-0.0204127,-0.00501236
-0.0203717,-0.00456827
-0.0203307,-0.00416354
-0.0202898,-0.00379467
-0.020249,-0.0034585
-0.0202083,-0.00315211
-0.0201677,-0.00287288
-0.0201271,-0.00261839
-0.0200866,-0.00238645
-0.0200462,-0.00217506
-0.0200059,-0.0019824
-0.0199656,-0.00180681
-0.0199254,-0.00164678
-0.0198853,-0.00150093
-0.0198453,-0.001368
-0.0198054,-0.00124684
-0.0197656,-0.00113642
-0.0197258,-0.00103578
-0.0196861,-0.000944058
-0.0196465,-0.000860459
-0.019607,-0.000784265
-0.0195675,-0.000714821
-0.0195281,-0.000651527
-0.0194888,-0.000593839
-0.0194496,-0.000541261
-0.0194105,-0.00049334
-0.0193714,-0.000449663
-0.0193325,-0.000409853
-0.0192936,-0.00037357
-0.0192547,-0.000340499
-0.019216,-0.000310357
-0.0191773,-0.000282885
-0.0191387,-0.000257844
-0.0191002,-0.000235021
-0.0190618,-0.000214219
-0.0190234,-0.000195259
-0.0189852,-0.000177978
-0.018947,-0.000162226
-0.0189088,-0.000147869
-0.0188708,-0.000134783
-0.0188328,-0.000122856
-0.0187949,-0.000111984
-0.0187571,-0.000102075
-0.0187194,-9.30427e-05
-0.0186817,-8.48101e-05
-0.0186441,-7.73061e-05
-0.0186066,-7.04664e-05
-0.0185691,-6.4232e-05
-0.0185318,-5.85494e-05
-0.0184945,-5.33698e-05
-0.0184573,-4.86485e-05
-0.0184201,-4.4345e-05
-0.0183831,-4.04224e-05
-0.0183461,-3.68468e-05
-0.0183092,-3.35877e-05
-0.0182723,-3.06169e-05
-0.0182356,-2.7909e-05
-0.0181989,-2.54407e-05
-0.0181651,5.86124e-06
-0.0181345,5.33867e-05
-0.0181021,8.19951e-05
-0.0180684,0.00011562
-0.0180338,0.000139146
-0.0179986,0.000163181
-0.0179628,0.00018129
-0.0179267,0.000198244
-0.0178904,0.000211366
-0.0178539,0.000222855
-0.0178174,0.000231653
-0.0177808,0.000238816
-0.0177442,0.000243972
-0.0177077,0.000247665
-0.0176711,0.000249805
-0.0176347,0.000250698
-0.0175983,0.000250366
-0.017562,0.000249
-0.0175257,0.000246659
-0.0174896,0.000243473
-0.0174535,0.000239511
-0.0174175,0.000234868
-0.0173817,0.00022961
-0.0173459,0.000223808
-0.0173102,0.000217522
-0.0172746,0.00021081
-0.0172391,0.00020372
-0.0172037,0.000196301
-0.0171684,0.000188593
-0.0171331,0.000180636
-0.017098,0.000172464
-0.017063,0.00016411
-0.0170281,0.000155601
-0.0169932,0.000146964
-0.0169585,0.000138224
-0.0169238,0.000129401
-0.0168892,0.000120516
-0.0168548,0.000111586
-0.0168204,0.000102627
-0.0167861,9.36548e-05
-0.0167519,8.46818e-05
-0.0167178,7.57203e-05
-0.0166838,6.67813e-05
-0.0166498,5.78746e-05
-0.016616,4.90091e-05
-0.0165822,4.0193e-05
-0.0165486,3.14334e-05
-0.016515,2.27369e-05
-0.0164815,1.41093e-05
-0.0164481,5.55601e-06
-0.0164148,-2.91833e-06
-0.0163815,-1.13095e-05
-0.0163484,-1.96137e-05
-0.0163153,-2.78276e-05
-0.0162823,-3.59482e-05
-0.0162494,-4.39729e-05
-0.0162166,-5.18993e-05
-0.0161839,-5.97256e-05
-0.0161513,-6.74498e-05
-0.0161187,-7.50705e-05
-0.0160897,-0.000109396
-0.0160601,-0.000125987
-0.0160297,-0.000150663
-0.0159986,-0.000166688
-0.0159672,-0.000185404
-0.0159355,-0.000199583
-0.0159036,-0.000214239
-0.0158715,-0.000226279
-0.0158394,-0.000237946
-0.0158073,-0.00024794
-0.0157751,-0.000257285
-0.015743,-0.000265457
-0.015711,-0.00027294
-0.015679,-0.00027954
-0.0156471,-0.0002855
-0.0156152,-0.000290764
-0.0155834,-0.000295464
-0.0155518,-0.000299601
-0.0155202,-0.000303253
-0.0154886,-0.000306441
-0.0154572,-0.000309218
-0.0154259,-0.000311609
-0.0153946,-0.000313653
-0.0153635,-0.000315373
-0.0153324,-0.000316801
-0.0153014,-0.000317958
-0.0152706,-0.000318867
-0.0152398,-0.000319548
-0.0152091,-0.000320021
-0.0151785,-0.000320301
-0.0151479,-0.000320404
-0.0151175,-0.000320345
-0.0150872,-0.000320135
-0.0150569,-0.000319788
-0.0150267,-0.000319312
-0.0149967,-0.00031872
-0.0149667,-0.000318018
-0.0149364,-0.000289002
-0.0149061,-0.000261741
-0.0148758,-0.000236761
-0.0148456,-0.000213423
-0.0148155,-0.000191883
-0.0147855,-0.000171793
-0.0147556,-0.000153162
-0.0147257,-0.000135782
-0.0146959,-0.000119604
-0.0146662,-0.000104493
-0.0146366,-9.0384e-05
-0.014607,-7.71796e-05
-0.0145776,-6.48164e-05
-0.0145482,-5.32192e-05
-0.0145188,-4.23312e-05
-0.0144895,-3.20925e-05
-0.0144604,-2.24538e-05
-0.0144312,-1.33667e-05
-0.0144022,-4.78914e-06
-0.0143732,3.31869e-06
-0.0143443,1.09921e-05
-0.0143154,1.82642e-05
-0.0142867,2.51645e-05
-0.014258,3.17205e-05
-0.0142293,3.7957e-05
-0.0142008,4.38967e-05
-0.0141723,4.95604e-05
-0.0141438,5.49673e-05
-0.0141155,6.01345e-05
-0.0140872,6.5078e-05
-0.014059,6.98124e-05
-0.0140308,7.43508e-05
-0.0140027,7.87055e-05
-0.0139747,8.28875e-05
